state_po,pvi_2022
AL,-15
AK,-6
AR,-15
CO,6
DE,8
FL,-5
GA,-1
IA,-6
ID,-18
IL,6
KS,-8
KY,-15
LA,-11
MA,14
ME,4
MI,0
MN,3
MS,-11
MT,-10
NC,7.9
NE,-10
NH,2
NJ,4
NM,4
OH,-5
OK,-17
OR,8
RI,8
SC,-8
SD,-15
TN,-14
TX,-6
VA,3
WV,-21
WY,-23
