state,average
AL,15.0
AK,1.0
AR,11.0
FL,9.7
GA,-7.5
IA,3.9
ID,25.3
KS,4.2
ME,-1.2
MI,-1.7
MN,-4.7
MS,6.5
MT,16.5
NE,6.0
NH,-5.6
NC,-5.5
OH,1.1
OK,20.0
RI,-18.7
SC,7.9
SD,18.8
TX,1.3
VA,-19.9
